text,sentiment
"This movie was excellent, I really enjoyed watching it.","positive"
"The product quality was very good and the price was reasonable.","positive"
"The restaurant service was exceptional and the food was delicious.","positive"
"I'm satisfied with this purchase and would recommend it to others.","positive"
"It was a great experience and I will definitely use it again.","positive"
"The product was ordinary, I expected more.","neutral"
"It was neither good nor bad, just average.","neutral"
"The price was proportional to its quality.","neutral"
"It didn't have any significant difference from similar products.","neutral"
"It was an ordinary experience, nothing special.","neutral"
"The product quality was very low and I wasn't satisfied at all.","negative"
"The prices are too high and not worth buying.","negative"
"The service was terrible and the staff were not friendly.","negative"
"I don't recommend this product at all, I was completely disappointed.","negative"
"It was a very bad experience and I won't buy from this company again.","negative"
