text,sentiment
"این فیلم عالی بود، واقعاً از دیدنش لذت بردم.","مثبت"
"کیفیت محصول خیلی خوب بود و قیمتش هم مناسب.","مثبت"
"سرویس‌دهی رستوران فوق‌العاده بود و غذاها خوشمزه بودند.","مثبت"
"از خرید این محصول راضی هستم و به دیگران توصیه می‌کنم.","مثبت"
"تجربه خیلی خوبی بود و حتماً دوباره استفاده خواهم کرد.","مثبت"
"محصول معمولی بود، انتظار بیشتری داشتم.","خنثی"
"نه خوب بود نه بد، در حد متوسط.","خنثی"
"قیمت محصول متناسب با کیفیتش بود.","خنثی"
"تفاوت خاصی با سایر محصولات مشابه نداشت.","خنثی"
"تجربه معمولی بود، چیز خاصی نداشت.","خنثی"
"کیفیت محصول بسیار پایین بود و اصلاً راضی نبودم.","منفی"
"قیمت‌ها خیلی بالاست و ارزش خرید ندارد.","منفی"
"سرویس‌دهی افتضاح بود و کارکنان برخورد خوبی نداشتند.","منفی"
"به هیچ وجه این محصول را توصیه نمی‌کنم، کاملاً ناامید شدم.","منفی"
"تجربه بسیار بدی بود و دیگر از این شرکت خرید نخواهم کرد.","منفی"
